name,id,card_id,image_url,rarity
Oddish,1,sv03-001,https://assets.tcgdex.net/pt/sv/sv03/001,1
Bulbasaur,2,sv03.5-001,https://assets.tcgdex.net/pt/sv/sv03.5/001,1
Hoppip,3,sv02-001,https://assets.tcgdex.net/pt/sv/sv02/001,1
Pineco,4,sv04.5-001,https://assets.tcgdex.net/pt/sv/sv04.5/001,1
Scyther,5,sv05-001,https://assets.tcgdex.net/pt/sv/sv05/001,2
Venusaur ex,6,sv07-001,https://assets.tcgdex.net/pt/sv/sv07/001,5
Exeggcute,7,sv08-001,https://assets.tcgdex.net/pt/sv/sv08/001,1
Pineco,8,sv01-001,https://assets.tcgdex.net/pt/sv/sv01/001,1
Surskit,9,sv04-001,https://assets.tcgdex.net/pt/sv/sv04/001,1
Joltik,10,sv06.5-001,https://assets.tcgdex.net/pt/sv/sv06.5/001,1
Tangela,11,sv06-001,https://assets.tcgdex.net/pt/sv/sv06/001,2
Pinsir,12,swsh7-1,https://assets.tcgdex.net/pt/swsh/swsh7/1,2
Bulbasaur,13,swsh10.5-001,https://assets.tcgdex.net/pt/swsh/swsh10.5/001,1
Venusaur V,14,swsh3.5-1,https://assets.tcgdex.net/pt/swsh/swsh3.5/1,3
Butterfree V,15,swsh3-1,https://assets.tcgdex.net/pt/swsh/swsh3/1,3
Weedle,16,swsh4-1,https://assets.tcgdex.net/pt/swsh/swsh4/1,1
Weedle,17,swsh6-1,https://assets.tcgdex.net/pt/swsh/swsh6/1,1
Exeggcute,18,swsh9-001,https://assets.tcgdex.net/pt/swsh/swsh9/001,1
Yanma,19,swsh4.5-1,https://assets.tcgdex.net/pt/swsh/swsh4.5/1,2
Venonat,20,swsh12-001,https://assets.tcgdex.net/pt/swsh/swsh12/001,1
Caterpie,21,swsh2-1,https://assets.tcgdex.net/pt/swsh/swsh2/1,1
Beedrill V,22,swsh10-001,https://assets.tcgdex.net/pt/swsh/swsh10/001,3
Caterpie,23,swsh8-1,https://assets.tcgdex.net/pt/swsh/swsh8/1,1
Bellsprout,24,swsh5-1,https://assets.tcgdex.net/pt/swsh/swsh5/1,1
Oddish,25,swsh12.5-001,https://assets.tcgdex.net/pt/swsh/swsh12.5/001,1
Oddish,26,swsh11-001,https://assets.tcgdex.net/pt/swsh/swsh11/001,1
Ho-Oh,27,cel25-1,https://assets.tcgdex.net/pt/swsh/cel25/1,2
Celebi V,28,swsh1-1,https://assets.tcgdex.net/pt/swsh/swsh1/1,3
Weedle,29,xy0-1,https://assets.tcgdex.net/pt/xy/xy0/1,1
Paras,30,xy8-1,https://assets.tcgdex.net/pt/xy/xy8/1,1
Chikorita,31,xy9-1,https://assets.tcgdex.net/pt/xy/xy9/1,1
Venusaur EX,32,xy12-1,https://assets.tcgdex.net/pt/xy/xy12/1,3
Shuckle,33,xy10-1,https://assets.tcgdex.net/pt/xy/xy10/1,2
Tangela,34,xy11-1,https://assets.tcgdex.net/pt/xy/xy11/1,2
Bellsprout,35,xy3-1,https://assets.tcgdex.net/pt/xy/xy3/1,1
Exeggcute,36,xy6-1,https://assets.tcgdex.net/pt/xy/xy6/1,1
Venusaur EX,37,xy1-1,https://assets.tcgdex.net/pt/xy/xy1/1,3
Oddish,38,xy7-1,https://assets.tcgdex.net/pt/xy/xy7/1,1
Venonat,39,xy4-1,https://assets.tcgdex.net/pt/xy/xy4/1,1
Caterpie,40,xy2-1,https://assets.tcgdex.net/pt/xy/xy2/1,1
Weedle,41,xy5-1,https://assets.tcgdex.net/pt/xy/xy5/1,1
Gloom,42,sv03-002,https://assets.tcgdex.net/pt/sv/sv03/002,2
Ivysaur,43,sv03.5-002,https://assets.tcgdex.net/pt/sv/sv03.5/002,2
Skiploom,44,sv02-002,https://assets.tcgdex.net/pt/sv/sv02/002,1
Forretress ex,45,sv04.5-002,https://assets.tcgdex.net/pt/sv/sv04.5/002,4
Pineco,46,sv05-002,https://assets.tcgdex.net/pt/sv/sv05/002,1
Ledyba,47,sv07-002,https://assets.tcgdex.net/pt/sv/sv07/002,1
Exeggcute,48,sv08-002,https://assets.tcgdex.net/pt/sv/sv08/002,1
Heracross,49,sv01-002,https://assets.tcgdex.net/pt/sv/sv01/002,2
Masquerain,50,sv04-002,https://assets.tcgdex.net/pt/sv/sv04/002,2
Galvantula,51,sv06.5-002,https://assets.tcgdex.net/pt/sv/sv06.5/002,2
Tangrowth,52,sv06-002,https://assets.tcgdex.net/pt/sv/sv06/002,2
Hoppip,53,swsh7-2,https://assets.tcgdex.net/pt/swsh/swsh7/2,1
Ivysaur,54,swsh10.5-002,https://assets.tcgdex.net/pt/swsh/swsh10.5/002,2
Weedle,55,swsh3.5-2,https://assets.tcgdex.net/pt/swsh/swsh3.5/2,1
Butterfree VMAX,56,swsh3-2,https://assets.tcgdex.net/pt/swsh/swsh3/2,4
Kakuna,57,swsh4-2,https://assets.tcgdex.net/pt/swsh/swsh4/2,2
Kakuna,58,swsh6-2,https://assets.tcgdex.net/pt/swsh/swsh6/2,2
Exeggutor,59,swsh9-002,https://assets.tcgdex.net/pt/swsh/swsh9/002,2
Yanmega,60,swsh4.5-2,https://assets.tcgdex.net/pt/swsh/swsh4.5/2,2
